,Type,Days for shipment (scheduled),Category Name,Customer City,Customer Country,Customer Segment,Customer State,Department Name,Market,Order City,Order Country,Order Item Discount Rate,Order Item Quantity,Sales,Order Region,Order State,Product Name,Shipping Mode,Year,Month
1469,DEBIT,0,Cleats,Phoenix,EE. UU.,Home Office,AZ,Apparel,LATAM,Santo Domingo,República Dominicana,0.07,5,299.9500122,Caribbean,Santo Domingo,Perfect Fitness Perfect Rip Deck,Same Day,2015,1
1470,DEBIT,0,Trade-In,Phoenix,EE. UU.,Home Office,AZ,Outdoors,LATAM,Santo Domingo,República Dominicana,0.029999999,4,87.95999908,Caribbean,Santo Domingo,Glove It Women's Mod Oval 3-Zip Carry All Gol,Same Day,2015,1
1471,DEBIT,0,Indoor/Outdoor Games,Phoenix,EE. UU.,Home Office,AZ,Fan Shop,LATAM,Santo Domingo,República Dominicana,0.129999995,5,249.8999939,Caribbean,Santo Domingo,O'Brien Men's Neoprene Life Vest,Same Day,2015,1
1472,DEBIT,4,Shop By Sport,Elyria,EE. UU.,Corporate,OH,Golf,LATAM,El Progreso,Honduras,0.02,1,30.0,Central America,Yoro,Columbia Men's PFG Anchor Tough T-Shirt,Standard Class,2015,1
1473,DEBIT,4,Women's Apparel,Elyria,EE. UU.,Corporate,OH,Golf,LATAM,El Progreso,Honduras,0.170000002,2,100.0,Central America,Yoro,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
1474,DEBIT,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,El Progreso,Honduras,0.059999999,5,299.9500122,Central America,Yoro,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1475,DEBIT,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,El Progreso,Honduras,0.059999999,4,239.9600067,Central America,Yoro,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1476,DEBIT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,El Progreso,Honduras,0.200000003,3,149.9400024,Central America,Yoro,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1477,CASH,4,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Penedo,Brasil,0.01,1,129.9900055,South America,Alagoas,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1478,PAYMENT,4,Cleats,Honolulu,EE. UU.,Home Office,HI,Apparel,LATAM,Villa Nueva,Guatemala,0.159999996,3,179.9700012,Central America,Guatemala,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1479,PAYMENT,4,Indoor/Outdoor Games,Honolulu,EE. UU.,Home Office,HI,Fan Shop,LATAM,Villa Nueva,Guatemala,0.25,2,99.95999908,Central America,Guatemala,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1480,DEBIT,4,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Villa Nueva,Guatemala,0.150000006,1,399.980011,Central America,Guatemala,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
1483,TRANSFER,4,Indoor/Outdoor Games,North Tonawanda,EE. UU.,Corporate,NY,Fan Shop,LATAM,Villa Nueva,Guatemala,0.180000007,3,149.9400024,Central America,Guatemala,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1484,TRANSFER,4,Men's Footwear,North Tonawanda,EE. UU.,Corporate,NY,Apparel,LATAM,Villa Nueva,Guatemala,0.0,1,129.9900055,Central America,Guatemala,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1481,TRANSFER,4,Cleats,North Tonawanda,EE. UU.,Corporate,NY,Apparel,LATAM,Villa Nueva,Guatemala,0.050000001,5,299.9500122,Central America,Guatemala,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1482,TRANSFER,4,Cleats,North Tonawanda,EE. UU.,Corporate,NY,Apparel,LATAM,Villa Nueva,Guatemala,0.050000001,4,239.9600067,Central America,Guatemala,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1485,DEBIT,2,Water Sports,Fort Lauderdale,EE. UU.,Consumer,FL,Fan Shop,LATAM,Villa Nueva,Guatemala,0.25,1,199.9900055,Central America,Guatemala,Pelican Sunstream 100 Kayak,Second Class,2015,1
1486,TRANSFER,4,Water Sports,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Orizaba,México,0.200000003,1,199.9900055,Central America,Veracruz,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1487,TRANSFER,4,Camping & Hiking,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Orizaba,México,0.180000007,1,299.980011,Central America,Veracruz,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
1488,TRANSFER,4,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Orizaba,México,0.25,1,129.9900055,Central America,Veracruz,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1489,DEBIT,4,Golf Balls,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,Mixco,Guatemala,0.059999999,1,19.98999977,Central America,Guatemala,Glove It Women's Mod Oval Golf Glove,Standard Class,2015,1
1490,DEBIT,4,Men's Footwear,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Mixco,Guatemala,0.200000003,1,129.9900055,Central America,Guatemala,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1491,DEBIT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Mixco,Guatemala,0.01,4,199.9199982,Central America,Guatemala,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1492,DEBIT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Mixco,Guatemala,0.119999997,5,249.8999939,Central America,Guatemala,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1493,DEBIT,4,Men's Footwear,Milford,EE. UU.,Home Office,CT,Apparel,LATAM,Apodaca,México,0.180000007,1,129.9900055,Central America,Nuevo León,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1494,DEBIT,4,Electronics,Milford,EE. UU.,Home Office,CT,Outdoors,LATAM,Apodaca,México,0.200000003,2,63.97999954,Central America,Nuevo León,Bridgestone e6 Straight Distance NFL Carolina,Standard Class,2015,1
1495,DEBIT,4,Shop By Sport,Milford,EE. UU.,Home Office,CT,Golf,LATAM,Apodaca,México,0.07,5,199.9499969,Central America,Nuevo León,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2015,1
1500,CASH,4,Cleats,Baltimore,EE. UU.,Consumer,MD,Apparel,LATAM,Guarujá,Brasil,0.039999999,5,299.9500122,South America,São Paulo,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1499,CASH,4,Fishing,Baltimore,EE. UU.,Consumer,MD,Fan Shop,LATAM,Guarujá,Brasil,0.129999995,1,399.980011,South America,São Paulo,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
1497,CASH,4,Camping & Hiking,Baltimore,EE. UU.,Consumer,MD,Fan Shop,LATAM,Guarujá,Brasil,0.159999996,1,299.980011,South America,São Paulo,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
1498,CASH,4,Cardio Equipment,Baltimore,EE. UU.,Consumer,MD,Footwear,LATAM,Guarujá,Brasil,0.159999996,2,199.9799957,South America,São Paulo,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
1496,CASH,4,Camping & Hiking,Baltimore,EE. UU.,Consumer,MD,Fan Shop,LATAM,Guarujá,Brasil,0.170000002,1,299.980011,South America,São Paulo,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
1501,DEBIT,4,Women's Apparel,Caguas,Puerto Rico,Corporate,PR,Golf,LATAM,Guarujá,Brasil,0.150000006,5,250.0,South America,São Paulo,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
1502,DEBIT,4,Golf Balls,Caguas,Puerto Rico,Corporate,PR,Outdoors,LATAM,Guarujá,Brasil,0.100000001,1,17.98999977,South America,São Paulo,Hirzl Women's Soffft Flex Golf Glove,Standard Class,2015,1
1503,TRANSFER,4,Shop By Sport,Philadelphia,EE. UU.,Consumer,PA,Golf,LATAM,Guarujá,Brasil,0.170000002,1,39.99000168,South America,São Paulo,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2015,1
1504,TRANSFER,4,Cleats,Philadelphia,EE. UU.,Consumer,PA,Apparel,LATAM,Guarujá,Brasil,0.180000007,2,119.9800034,South America,São Paulo,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1509,PAYMENT,4,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Santo Domingo,República Dominicana,0.039999999,1,59.99000168,Caribbean,Santo Domingo,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1505,PAYMENT,4,Men's Footwear,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Santo Domingo,República Dominicana,0.170000002,1,129.9900055,Caribbean,Santo Domingo,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1506,PAYMENT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Santo Domingo,República Dominicana,0.150000006,1,49.97999954,Caribbean,Santo Domingo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1507,PAYMENT,4,Water Sports,Caguas,Puerto Rico,Home Office,PR,Fan Shop,LATAM,Santo Domingo,República Dominicana,0.180000007,1,199.9900055,Caribbean,Santo Domingo,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1508,PAYMENT,4,Cleats,Caguas,Puerto Rico,Home Office,PR,Apparel,LATAM,Santo Domingo,República Dominicana,0.029999999,5,299.9500122,Caribbean,Santo Domingo,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1513,TRANSFER,4,Electronics,Elmhurst,EE. UU.,Consumer,IL,Outdoors,LATAM,Santo Domingo,República Dominicana,0.180000007,2,63.97999954,Caribbean,Santo Domingo,Bridgestone e6 Straight Distance NFL Carolina,Standard Class,2015,1
1512,TRANSFER,4,Men's Footwear,Elmhurst,EE. UU.,Consumer,IL,Apparel,LATAM,Santo Domingo,República Dominicana,0.159999996,1,129.9900055,Caribbean,Santo Domingo,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1510,TRANSFER,4,Men's Footwear,Elmhurst,EE. UU.,Consumer,IL,Apparel,LATAM,Santo Domingo,República Dominicana,0.150000006,1,129.9900055,Caribbean,Santo Domingo,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1511,TRANSFER,4,Indoor/Outdoor Games,Elmhurst,EE. UU.,Consumer,IL,Fan Shop,LATAM,Santo Domingo,República Dominicana,0.100000001,5,249.8999939,Caribbean,Santo Domingo,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1514,DEBIT,4,Indoor/Outdoor Games,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Villa Nueva,Guatemala,0.090000004,5,249.8999939,Central America,Guatemala,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1515,DEBIT,4,Cleats,Lancaster,EE. UU.,Consumer,PA,Apparel,LATAM,Villa Nueva,Guatemala,0.039999999,4,239.9600067,Central America,Guatemala,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1516,DEBIT,4,Indoor/Outdoor Games,Lancaster,EE. UU.,Consumer,PA,Fan Shop,LATAM,Villa Nueva,Guatemala,0.07,5,249.8999939,Central America,Guatemala,O'Brien Men's Neoprene Life Vest,Standard Class,2015,1
1517,DEBIT,4,Cleats,Lancaster,EE. UU.,Consumer,PA,Apparel,LATAM,Villa Nueva,Guatemala,0.02,5,299.9500122,Central America,Guatemala,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1518,DEBIT,4,Fishing,Lancaster,EE. UU.,Consumer,PA,Fan Shop,LATAM,Villa Nueva,Guatemala,0.119999997,1,399.980011,Central America,Guatemala,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
1519,DEBIT,4,Fishing,Waukegan,EE. UU.,Corporate,IL,Fan Shop,LATAM,Villa Nueva,Guatemala,0.100000001,1,399.980011,Central America,Guatemala,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
1520,DEBIT,4,Cleats,Waukegan,EE. UU.,Corporate,IL,Apparel,LATAM,Villa Nueva,Guatemala,0.029999999,4,239.9600067,Central America,Guatemala,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1521,DEBIT,4,Camping & Hiking,Waukegan,EE. UU.,Corporate,IL,Fan Shop,LATAM,Villa Nueva,Guatemala,0.150000006,1,299.980011,Central America,Guatemala,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
1522,PAYMENT,0,Cleats,Huntington Beach,EE. UU.,Consumer,CA,Apparel,LATAM,Cuscatancingo,El Salvador,0.02,4,239.9600067,Central America,San Salvador,Perfect Fitness Perfect Rip Deck,Same Day,2015,1
1523,PAYMENT,0,Camping & Hiking,Columbus,EE. UU.,Consumer,OH,Fan Shop,LATAM,Cuscatancingo,El Salvador,0.129999995,1,299.980011,Central America,San Salvador,Diamondback Women's Serene Classic Comfort Bi,Same Day,2015,1
1524,PAYMENT,0,Men's Footwear,Columbus,EE. UU.,Consumer,OH,Apparel,LATAM,Cuscatancingo,El Salvador,0.129999995,1,129.9900055,Central America,San Salvador,Nike Men's CJ Elite 2 TD Football Cleat,Same Day,2015,1
1526,DEBIT,0,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Cuscatancingo,El Salvador,0.01,4,239.9600067,Central America,San Salvador,Perfect Fitness Perfect Rip Deck,Same Day,2015,1
1527,DEBIT,0,Fishing,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Cuscatancingo,El Salvador,0.090000004,1,399.980011,Central America,San Salvador,Field & Stream Sportsman 16 Gun Fire Safe,Same Day,2015,1
1525,DEBIT,0,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Cuscatancingo,El Salvador,0.119999997,1,129.9900055,Central America,San Salvador,Nike Men's CJ Elite 2 TD Football Cleat,Same Day,2015,1
1528,CASH,2,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Cuscatancingo,El Salvador,0.059999999,5,199.9499969,Central America,San Salvador,Under Armour Girls' Toddler Spine Surge Runni,Second Class,2015,1
1529,CASH,2,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Cuscatancingo,El Salvador,0.029999999,1,59.99000168,Central America,San Salvador,Perfect Fitness Perfect Rip Deck,Second Class,2015,1
1530,PAYMENT,2,Fishing,West Covina,EE. UU.,Home Office,CA,Fan Shop,LATAM,Miguel Hidalgo,México,0.07,1,399.980011,Central America,Distrito Federal,Field & Stream Sportsman 16 Gun Fire Safe,Second Class,2015,1
1531,PAYMENT,2,Cleats,West Covina,EE. UU.,Home Office,CA,Apparel,LATAM,Miguel Hidalgo,México,0.159999996,2,119.9800034,Central America,Distrito Federal,Perfect Fitness Perfect Rip Deck,Second Class,2015,1
1532,PAYMENT,2,Cleats,West Covina,EE. UU.,Home Office,CA,Apparel,LATAM,Miguel Hidalgo,México,0.150000006,2,119.9800034,Central America,Distrito Federal,Perfect Fitness Perfect Rip Deck,Second Class,2015,1
1533,PAYMENT,2,Water Sports,West Covina,EE. UU.,Home Office,CA,Fan Shop,LATAM,Miguel Hidalgo,México,0.170000002,1,199.9900055,Central America,Distrito Federal,Pelican Sunstream 100 Kayak,Second Class,2015,1
1534,PAYMENT,2,Cleats,West Covina,EE. UU.,Home Office,CA,Apparel,LATAM,Miguel Hidalgo,México,0.170000002,2,119.9800034,Central America,Distrito Federal,Perfect Fitness Perfect Rip Deck,Second Class,2015,1
1535,TRANSFER,2,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,David,Panamá,0.02,1,59.99000168,Central America,Chiriquí,Perfect Fitness Perfect Rip Deck,Second Class,2015,1
1536,TRANSFER,2,Electronics,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,David,Panamá,0.170000002,1,31.98999977,Central America,Chiriquí,Bridgestone e6 Straight Distance NFL San Dieg,Second Class,2015,1
1537,TRANSFER,2,Camping & Hiking,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,David,Panamá,0.119999997,1,299.980011,Central America,Chiriquí,Diamondback Women's Serene Classic Comfort Bi,Second Class,2015,1
1538,TRANSFER,2,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,David,Panamá,0.059999999,5,249.8999939,Central America,Chiriquí,O'Brien Men's Neoprene Life Vest,Second Class,2015,1
1539,TRANSFER,2,Accessories,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,David,Panamá,0.129999995,3,74.97000122,Central America,Chiriquí,Team Golf Pittsburgh Steelers Putter Grip,Second Class,2015,1
1541,DEBIT,1,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Manaus,Brasil,0.02,3,150.0,South America,Amazonas,Nike Men's Dri-FIT Victory Golf Polo,First Class,2015,1
1540,DEBIT,1,Golf Shoes,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,Manaus,Brasil,0.02,2,130.0,South America,Amazonas,LIJA Women's Eyelet Sleeveless Golf Polo,First Class,2015,1
1544,DEBIT,1,Men's Footwear,Cupertino,EE. UU.,Consumer,CA,Apparel,LATAM,Coyoacán,México,0.100000001,1,129.9900055,Central America,Distrito Federal,Nike Men's CJ Elite 2 TD Football Cleat,First Class,2015,1
1543,DEBIT,1,Men's Footwear,Cupertino,EE. UU.,Consumer,CA,Apparel,LATAM,Coyoacán,México,0.090000004,1,129.9900055,Central America,Distrito Federal,Nike Men's CJ Elite 2 TD Football Cleat,First Class,2015,1
1542,DEBIT,1,Women's Apparel,Cupertino,EE. UU.,Consumer,CA,Golf,LATAM,Coyoacán,México,0.159999996,2,100.0,Central America,Distrito Federal,Nike Men's Dri-FIT Victory Golf Polo,First Class,2015,1
1545,PAYMENT,1,Fishing,Loveland,EE. UU.,Consumer,OH,Fan Shop,LATAM,Coyoacán,México,0.059999999,1,399.980011,Central America,Distrito Federal,Field & Stream Sportsman 16 Gun Fire Safe,First Class,2015,1
1546,PAYMENT,1,Camping & Hiking,Loveland,EE. UU.,Consumer,OH,Fan Shop,LATAM,Coyoacán,México,0.100000001,1,299.980011,Central America,Distrito Federal,Diamondback Women's Serene Classic Comfort Bi,First Class,2015,1
1547,PAYMENT,1,Cardio Equipment,Loveland,EE. UU.,Consumer,OH,Footwear,LATAM,Coyoacán,México,0.029999999,3,299.9700012,Central America,Distrito Federal,Nike Men's Free 5.0+ Running Shoe,First Class,2015,1
1548,PAYMENT,1,Cardio Equipment,Loveland,EE. UU.,Consumer,OH,Footwear,LATAM,Coyoacán,México,0.150000006,2,199.9799957,Central America,Distrito Federal,Nike Men's Free 5.0+ Running Shoe,First Class,2015,1
1549,TRANSFER,1,Water Sports,Chicago,EE. UU.,Consumer,IL,Fan Shop,LATAM,Azcapotzalco,México,0.159999996,1,199.9900055,Central America,Distrito Federal,Pelican Sunstream 100 Kayak,First Class,2015,1
1550,DEBIT,4,Fishing,Miami,EE. UU.,Consumer,FL,Fan Shop,LATAM,Azcapotzalco,México,0.050000001,1,399.980011,Central America,Distrito Federal,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
1551,DEBIT,4,Women's Apparel,Miami,EE. UU.,Consumer,FL,Golf,LATAM,Azcapotzalco,México,0.150000006,2,100.0,Central America,Distrito Federal,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
1552,DEBIT,4,Water Sports,Tampa,EE. UU.,Consumer,FL,Fan Shop,LATAM,Francisco Morato,Brasil,0.150000006,1,199.9900055,South America,São Paulo,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1553,PAYMENT,4,Cleats,Mount Prospect,EE. UU.,Consumer,IL,Apparel,LATAM,Villa Alemana,Chile,0.01,5,299.9500122,South America,Valparaíso,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1554,PAYMENT,4,Camping & Hiking,Mount Prospect,EE. UU.,Consumer,IL,Fan Shop,LATAM,Villa Alemana,Chile,0.090000004,1,299.980011,South America,Valparaíso,Diamondback Women's Serene Classic Comfort Bi,Standard Class,2015,1
1555,PAYMENT,4,Shop By Sport,Mount Prospect,EE. UU.,Consumer,IL,Golf,LATAM,Villa Alemana,Chile,0.039999999,3,119.9700012,South America,Valparaíso,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2015,1
1556,PAYMENT,4,Water Sports,Mount Prospect,EE. UU.,Consumer,IL,Fan Shop,LATAM,Villa Alemana,Chile,0.129999995,1,199.9900055,South America,Valparaíso,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1557,PAYMENT,4,Water Sports,Mount Prospect,EE. UU.,Consumer,IL,Fan Shop,LATAM,Villa Alemana,Chile,0.119999997,1,199.9900055,South America,Valparaíso,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1559,DEBIT,4,Fishing,Bronx,EE. UU.,Home Office,NY,Fan Shop,LATAM,Villa Alemana,Chile,0.039999999,1,399.980011,South America,Valparaíso,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
1558,DEBIT,4,Cleats,Bronx,EE. UU.,Home Office,NY,Apparel,LATAM,Villa Alemana,Chile,0.01,1,59.99000168,South America,Valparaíso,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1560,TRANSFER,4,Cardio Equipment,Oceanside,EE. UU.,Corporate,CA,Footwear,LATAM,Gonaïves,Haití,0.090000004,1,99.98999786,Caribbean,Artibonito,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
1561,TRANSFER,4,Men's Footwear,Oceanside,EE. UU.,Corporate,CA,Apparel,LATAM,Gonaïves,Haití,0.07,1,129.9900055,Caribbean,Artibonito,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1562,DEBIT,4,Cardio Equipment,New Orleans,EE. UU.,Consumer,LA,Footwear,LATAM,Gonaïves,Haití,0.02,4,399.9599915,Caribbean,Artibonito,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
1563,DEBIT,4,Men's Footwear,New Orleans,EE. UU.,Consumer,LA,Apparel,LATAM,Gonaïves,Haití,0.050000001,1,129.9900055,Caribbean,Artibonito,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1564,DEBIT,4,Men's Footwear,New Orleans,EE. UU.,Consumer,LA,Apparel,LATAM,Gonaïves,Haití,0.059999999,1,129.9900055,Caribbean,Artibonito,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1565,TRANSFER,4,Cardio Equipment,Corona,EE. UU.,Consumer,NY,Footwear,LATAM,Santo Domingo,República Dominicana,0.02,3,299.9700012,Caribbean,Santo Domingo,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
1566,CASH,0,Camping & Hiking,Los Angeles,EE. UU.,Consumer,CA,Fan Shop,LATAM,Puebla,México,0.07,1,299.980011,Central America,Puebla,Diamondback Women's Serene Classic Comfort Bi,Same Day,2015,1
1567,PAYMENT,1,Fishing,Chicago,EE. UU.,Corporate,IL,Fan Shop,LATAM,Uberaba,Brasil,0.029999999,1,399.980011,South America,Minas Gerais,Field & Stream Sportsman 16 Gun Fire Safe,First Class,2015,1
1568,PAYMENT,1,Water Sports,Chicago,EE. UU.,Corporate,IL,Fan Shop,LATAM,Uberaba,Brasil,0.100000001,1,199.9900055,South America,Minas Gerais,Pelican Sunstream 100 Kayak,First Class,2015,1
1569,PAYMENT,1,Indoor/Outdoor Games,Upland,EE. UU.,Home Office,CA,Fan Shop,LATAM,Uberaba,Brasil,0.170000002,3,149.9400024,South America,Minas Gerais,O'Brien Men's Neoprene Life Vest,First Class,2015,1
1570,PAYMENT,1,Camping & Hiking,Upland,EE. UU.,Home Office,CA,Fan Shop,LATAM,Uberaba,Brasil,0.050000001,1,299.980011,South America,Minas Gerais,Diamondback Women's Serene Classic Comfort Bi,First Class,2015,1
1571,PAYMENT,1,Camping & Hiking,Upland,EE. UU.,Home Office,CA,Fan Shop,LATAM,Uberaba,Brasil,0.059999999,1,299.980011,South America,Minas Gerais,Diamondback Women's Serene Classic Comfort Bi,First Class,2015,1
1574,DEBIT,4,Water Sports,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Uberaba,Brasil,0.090000004,1,199.9900055,South America,Minas Gerais,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1573,DEBIT,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Uberaba,Brasil,0.0,4,239.9600067,South America,Minas Gerais,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1572,DEBIT,4,Cleats,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Uberaba,Brasil,0.0,1,59.99000168,South America,Minas Gerais,Perfect Fitness Perfect Rip Deck,Standard Class,2015,1
1575,CASH,4,Cardio Equipment,Caguas,Puerto Rico,Corporate,PR,Footwear,LATAM,Villahermosa,México,0.01,3,299.9700012,Central America,Tabasco,Nike Men's Free 5.0+ Running Shoe,Standard Class,2015,1
1576,CASH,4,Water Sports,Caguas,Puerto Rico,Corporate,PR,Fan Shop,LATAM,Villahermosa,México,0.07,1,199.9900055,Central America,Tabasco,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1577,CASH,4,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Villahermosa,México,0.039999999,1,129.9900055,Central America,Tabasco,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1578,CASH,4,Women's Apparel,Caguas,Puerto Rico,Corporate,PR,Golf,LATAM,Villahermosa,México,0.0,4,200.0,Central America,Tabasco,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
1579,CASH,4,Men's Footwear,Caguas,Puerto Rico,Corporate,PR,Apparel,LATAM,Villahermosa,México,0.029999999,1,129.9900055,Central America,Tabasco,Nike Men's CJ Elite 2 TD Football Cleat,Standard Class,2015,1
1580,DEBIT,4,Women's Apparel,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Villahermosa,México,0.25,4,200.0,Central America,Tabasco,Nike Men's Dri-FIT Victory Golf Polo,Standard Class,2015,1
1581,DEBIT,4,Trade-In,Caguas,Puerto Rico,Consumer,PR,Outdoors,LATAM,Villahermosa,México,0.100000001,4,63.95999908,Central America,Tabasco,Glove It Imperial Golf Towel,Standard Class,2015,1
1582,DEBIT,4,Fishing,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Villahermosa,México,0.02,1,399.980011,Central America,Tabasco,Field & Stream Sportsman 16 Gun Fire Safe,Standard Class,2015,1
1583,DEBIT,4,Shop By Sport,Caguas,Puerto Rico,Consumer,PR,Golf,LATAM,Villahermosa,México,0.029999999,3,119.9700012,Central America,Tabasco,Under Armour Girls' Toddler Spine Surge Runni,Standard Class,2015,1
1584,DEBIT,4,Water Sports,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Villahermosa,México,0.059999999,1,199.9900055,Central America,Tabasco,Pelican Sunstream 100 Kayak,Standard Class,2015,1
1587,PAYMENT,1,Indoor/Outdoor Games,Caguas,Puerto Rico,Consumer,PR,Fan Shop,LATAM,Managua,Nicaragua,0.159999996,3,149.9400024,Central America,Managua,O'Brien Men's Neoprene Life Vest,First Class,2015,1
1588,PAYMENT,1,Cleats,Caguas,Puerto Rico,Consumer,PR,Apparel,LATAM,Managua,Nicaragua,0.150000006,3,179.9700012,Central America,Managua,Perfect Fitness Perfect Rip Deck,First Class,2015,1
